# Sensor type: Thingy
# Activity type: Shuffle walking
# Activity subtype: Normal
# Subject id: s2101367
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695370431723,-0.7558594,-0.6894531,0.17089844,1.65625,16.40625,10.03125,0.0,0.0,0.0
1695370431764,-0.70410156,-0.7158203,0.15234375,0.03125,16.59375,9.78125,-56.125,-33.4375,-98.875
1695370431807,-0.6904297,-0.7558594,0.11621094,2.34375,19.21875,7.15625,0.0,0.0,0.0
1695370431852,-0.7294922,-0.7109375,0.11816406,0.5,16.96875,3.0625,0.0,0.0,0.0
1695370431872,-0.7314453,-0.70703125,0.11621094,2.875,18.1875,1.84375,0.0,0.0,0.0
1695370431912,-0.74121094,-0.7050781,0.08691406,0.09375,13.78125,1.71875,0.0,0.0,0.0
1695370431975,-0.765625,-0.6894531,0.095703125,0.5625,13.3125,2.28125,0.0,0.0,0.0
1695370431997,-0.7421875,-0.65722656,0.08984375,0.75,9.9375,4.59375,0.0,0.0,0.0
1695370432040,-0.74902344,-0.7001953,0.053710938,-1.8125,4.25,5.5,0.0,0.0,0.0
1695370432082,-0.73046875,-0.7314453,0.06542969,-0.40625,13.34375,9.03125,0.0,0.0,0.0
1695370432125,-0.765625,-0.67285156,0.05859375,6.4375,18.25,7.53125,0.0,0.0,0.0
1695370432169,-0.75878906,-0.6191406,0.09472656,0.625,5.0625,7.09375,0.0,0.0,0.0
1695370432190,-0.64160156,-0.7421875,0.19238281,-6.625,-6.46875,8.0625,0.0,0.0,0.0
1695370432232,-0.5996094,-0.81347656,0.23632812,-13.84375,-17.34375,5.75,0.0,0.0,0.0
1695370432273,-0.54589844,-0.76171875,0.24707031,-19.21875,-46.40625,3.6875,-56.125,-30.25,-102.8125
1695370432316,-0.9609375,-1.2988281,0.29296875,-35.625,-49.6875,-9.5,0.0,0.0,0.0
1695370432362,-1.0068359,-0.6201172,0.09277344,21.4375,-69.15625,-22.625,0.0,0.0,0.0
1695370432401,-0.95996094,-0.3359375,-0.1640625,37.4375,-59.8125,-32.46875,0.0,0.0,0.0
1695370432446,-0.80078125,-0.74121094,0.053710938,-10.34375,-11.84375,-20.0,0.0,0.0,0.0
1695370432485,-0.7783203,-0.5810547,0.09863281,-42.71875,-10.125,-8.28125,0.0,0.0,0.0
1695370432529,-0.6982422,-0.41210938,0.10546875,-36.96875,-8.625,-6.34375,0.0,0.0,0.0
1695370432549,-0.72753906,-0.5,0.22167969,-14.25,17.09375,2.875,0.0,0.0,0.0
1695370432592,-0.6982422,-0.5722656,0.06933594,19.375,27.65625,8.375,0.0,0.0,0.0
1695370432635,-0.7753906,-0.5673828,0.0703125,34.25,37.40625,17.03125,0.0,0.0,0.0
1695370432677,-0.89160156,-0.6376953,0.40234375,35.125,35.40625,12.09375,0.0,0.0,0.0
1695370432742,-0.62597656,-0.7050781,0.25976562,-10.96875,-40.15625,-11.78125,0.0,0.0,0.0
1695370432764,-0.5029297,-0.79003906,0.07910156,14.46875,-22.09375,-6.34375,-56.6875,-32.1875,-98.0
1695370432805,-0.890625,-0.60253906,-0.12988281,4.65625,28.0625,-4.875,0.0,0.0,0.0
1695370432846,-1.3105469,-0.6044922,0.77441406,-11.21875,65.59375,1.21875,0.0,0.0,0.0
1695370432870,-0.7451172,-0.5839844,-0.083984375,-71.5625,-46.875,13.5625,0.0,0.0,0.0
1695370432912,-0.85058594,-0.45410156,0.0859375,20.28125,-54.34375,22.59375,0.0,0.0,0.0
1695370432956,-0.51464844,-1.2109375,-0.22753906,-7.71875,-27.28125,39.4375,0.0,0.0,0.0
