timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695379551516,0.044921875,-0.21679688,1.0439453,-26.6875,22.09375,38.0,0.0,0.0,0.0
1695379551556,-0.009765625,-0.359375,0.8623047,-13.5625,25.5,43.0625,0.0,0.0,0.0
1695379551596,-0.046875,-0.34472656,0.9980469,-0.4375,29.84375,51.625,0.0,0.0,0.0
1695379551636,-0.203125,-0.35351562,1.03125,-2.34375,19.40625,71.46875,0.0,0.0,0.0
1695379551676,-0.17089844,-0.31835938,0.9873047,-1.125,21.21875,68.71875,-34.1875,-25.0,-55.875
1695379551716,-0.15234375,-0.42089844,0.9785156,-2.6875,25.1875,53.34375,0.0,0.0,0.0
1695379551756,-0.14355469,-0.27539062,0.9707031,14.4375,20.1875,42.71875,0.0,0.0,0.0
1695379551796,-0.33984375,-0.19335938,1.0957031,4.8125,24.8125,37.71875,0.0,0.0,0.0
1695379551836,-0.3798828,-0.140625,1.0527344,-10.28125,39.90625,22.03125,0.0,0.0,0.0
1695379551876,-0.3203125,-0.21972656,1.1210938,-26.4375,53.9375,9.4375,0.0,0.0,0.0
1695379551916,-0.29492188,-0.37890625,1.0322266,-56.96875,57.71875,-4.46875,0.0,0.0,0.0
1695379551956,-0.515625,-0.41601562,0.95996094,6.09375,40.875,2.59375,0.0,0.0,0.0
1695379551996,-0.53125,-0.044921875,1.0429688,38.75,43.9375,-8.375,0.0,0.0,0.0
1695379552036,-0.47558594,-0.16503906,0.89160156,33.96875,20.6875,-0.875,0.0,0.0,0.0
1695379552076,-0.5449219,-0.21191406,0.8339844,51.625,1.375,12.5,0.0,0.0,0.0
1695379552116,-0.56640625,-0.057617188,0.7519531,69.1875,-3.0625,6.21875,0.0,0.0,0.0
1695379552156,-0.37695312,0.08496094,0.6533203,48.3125,25.0,-10.03125,-48.0,-19.3125,-58.6875
1695379552196,-0.36621094,0.0068359375,0.61816406,15.71875,51.875,-11.96875,0.0,0.0,0.0
1695379552236,-0.35058594,0.048828125,0.54003906,-2.21875,72.8125,0.84375,0.0,0.0,0.0
1695379552276,-0.4404297,0.017578125,0.56640625,-21.0,87.75,16.21875,0.0,0.0,0.0
1695379552316,-0.6191406,-0.049804688,0.5439453,-27.40625,105.34375,16.84375,0.0,0.0,0.0
1695379552356,-0.7089844,-0.049804688,0.5517578,-50.5625,147.4375,17.625,0.0,0.0,0.0
1695379552396,-0.92089844,-0.140625,0.54785156,-62.03125,157.21875,-0.4375,0.0,0.0,0.0
1695379552436,-1.0078125,-0.4951172,0.5830078,0.78125,166.5625,-10.6875,0.0,0.0,0.0
1695379552476,-1.0410156,-0.45996094,0.3408203,5.90625,194.3125,-26.4375,0.0,0.0,0.0
1695379552516,-1.0625,-0.044921875,-0.033203125,-30.34375,199.5625,-7.46875,0.0,0.0,0.0
1695379552556,-0.9589844,0.1484375,0.18261719,61.75,138.78125,17.3125,0.0,0.0,0.0
1695379552596,-1.3339844,0.45410156,0.38476562,-33.84375,104.46875,50.28125,0.0,0.0,0.0
1695379552636,-1.6669922,0.12792969,0.41210938,-28.21875,28.625,46.0625,0.0,0.0,0.0
1695379552676,-1.1435547,-0.6298828,0.044921875,-26.375,-54.8125,-26.1875,-63.125,-14.1875,-106.375
1695379552716,-0.7324219,-0.19042969,-0.033203125,19.28125,-39.6875,-18.6875,0.0,0.0,0.0
1695379552756,-1.3085938,-0.6044922,0.11816406,113.03125,-22.46875,-17.46875,0.0,0.0,0.0
1695379552796,-0.96777344,-0.16308594,0.24121094,113.8125,-38.65625,-29.125,0.0,0.0,0.0
1695379552836,-1.0996094,0.2626953,0.28808594,70.71875,-43.65625,-27.0,0.0,0.0,0.0
1695379552876,-0.92578125,0.18066406,0.2529297,20.125,-25.28125,-12.46875,0.0,0.0,0.0
1695379552916,-1.0214844,-0.040039062,0.2705078,-40.59375,-27.84375,3.40625,0.0,0.0,0.0
1695379552956,-0.94140625,-0.47460938,0.17285156,-31.9375,-28.40625,-25.09375,0.0,0.0,0.0
1695379552996,-0.8671875,-0.24609375,0.35742188,-2.21875,-39.75,-23.21875,0.0,0.0,0.0
1695379553036,-0.76171875,-0.18457031,0.4404297,-11.4375,-44.3125,-27.3125,0.0,0.0,0.0
1695379553076,-0.84765625,-0.20605469,0.48632812,-17.84375,-44.8125,-18.75,0.0,0.0,0.0
1695379553116,-0.8935547,-0.19726562,0.4658203,-2.40625,-67.875,0.15625,0.0,0.0,0.0
1695379553156,-0.95996094,-0.13964844,0.3642578,11.03125,-75.03125,-2.6875,-59.875,-22.1875,-90.0625
1695379553196,-1.0966797,-0.15429688,0.5019531,-1.0625,-87.65625,-10.40625,0.0,0.0,0.0
1695379553236,-1.0693359,-0.25683594,0.4892578,-26.4375,-84.78125,-14.46875,0.0,0.0,0.0
1695379553276,-0.83496094,-0.3857422,0.32617188,-16.75,-71.0,-26.75,0.0,0.0,0.0
1695379553316,-0.9345703,-0.36328125,0.61328125,-15.59375,-58.5,-41.46875,0.0,0.0,0.0
1695379553356,-0.6611328,-0.53125,0.62109375,2.3125,-39.5625,-43.84375,0.0,0.0,0.0
1695379553396,-0.89160156,-0.27246094,0.8466797,10.25,-57.09375,-27.25,0.0,0.0,0.0
1695379553436,-1.1113281,-0.2890625,0.6777344,12.125,-86.8125,-38.28125,0.0,0.0,0.0
1695379553476,-0.5449219,-0.2529297,0.9472656,17.0625,-97.0,-48.53125,0.0,0.0,0.0
1695379553516,-0.6455078,-0.30566406,1.0488281,30.75,-108.15625,-33.84375,0.0,0.0,0.0
1695379553556,-0.55078125,-0.4951172,0.92871094,36.125,-99.5,-42.625,0.0,0.0,0.0
1695379553596,-0.49316406,-0.19726562,0.9248047,13.84375,-111.53125,-23.875,0.0,0.0,0.0
1695379553636,-0.47070312,-0.2734375,0.86328125,9.03125,-118.375,-42.5625,0.0,0.0,0.0
1695379553676,-0.265625,-0.36816406,0.6425781,2.0625,-126.46875,-38.28125,-40.5,-28.75,-62.0
1695379553716,-0.31640625,-0.4169922,0.953125,18.0,-102.375,-52.1875,0.0,0.0,0.0
1695379553756,0.15820312,-0.12207031,0.54589844,-7.09375,-75.40625,-49.6875,0.0,0.0,0.0
1695379553796,0.09375,-0.12597656,0.8535156,20.0,-57.09375,-35.78125,0.0,0.0,0.0
1695379553836,0.3984375,-0.22949219,0.8408203,24.71875,-52.375,-2.53125,0.0,0.0,0.0
1695379553876,0.34277344,-0.140625,0.7607422,-28.8125,2.65625,21.71875,0.0,0.0,0.0
1695379553916,0.21582031,-0.16992188,0.84472656,-27.96875,22.3125,52.59375,0.0,0.0,0.0
1695379553956,-0.048828125,-0.13964844,0.63964844,-35.34375,72.75,66.09375,0.0,0.0,0.0
1695379553996,-0.3779297,-0.4169922,0.91308594,-4.40625,81.59375,54.0625,0.0,0.0,0.0
1695379554036,-0.059570312,-0.71484375,1.3144531,27.21875,53.03125,21.71875,0.0,0.0,0.0
1695379554076,-0.5722656,-0.609375,1.3349609,-13.6875,-5.3125,27.375,0.0,0.0,0.0
1695379554116,-0.24023438,-0.5136719,1.0576172,-11.5,-28.28125,-12.21875,0.0,0.0,0.0
1695379554156,-0.02734375,-0.35253906,0.7792969,14.9375,-40.40625,-10.4375,-35.125,-30.5625,-62.75
1695379554196,0.059570312,-0.33203125,0.89160156,-13.9375,-11.625,-10.09375,0.0,0.0,0.0
1695379554236,-0.09277344,-0.4501953,0.89941406,2.84375,-2.75,-4.53125,0.0,0.0,0.0
1695379554276,-0.203125,-0.43554688,0.81152344,7.0,8.59375,5.0,0.0,0.0,0.0
1695379554316,-0.26464844,-0.29101562,1.0224609,11.03125,7.625,7.8125,0.0,0.0,0.0
1695379554356,-0.18359375,-0.27929688,0.9560547,7.1875,15.375,11.09375,0.0,0.0,0.0
1695379554396,-0.22070312,-0.328125,0.8925781,-1.90625,20.8125,17.6875,0.0,0.0,0.0
1695379554436,-0.08105469,-0.30078125,1.0263672,1.15625,11.9375,18.28125,0.0,0.0,0.0
1695379554476,-0.09375,-0.42382812,0.98535156,-7.8125,21.71875,15.125,0.0,0.0,0.0
1695379554516,-0.12597656,-0.54296875,0.953125,-6.3125,31.28125,4.125,0.0,0.0,0.0
1695379554556,-0.12207031,-0.28515625,0.99902344,10.1875,43.3125,1.03125,0.0,0.0,0.0
1695379554596,-0.22851562,-0.2685547,0.9082031,5.0,49.3125,6.40625,0.0,0.0,0.0
1695379554636,-0.31640625,-0.3330078,0.9355469,12.5625,47.65625,15.25,0.0,0.0,0.0
1695379554676,-0.43554688,-0.27539062,0.95214844,-0.9375,44.34375,29.40625,-40.1875,-29.5,-64.125
1695379554716,-0.4921875,-0.234375,0.96191406,-18.5,21.09375,36.90625,0.0,0.0,0.0
1695379554756,-0.39746094,-0.5107422,0.94433594,-32.96875,30.125,28.0,0.0,0.0,0.0
1695379554796,-0.328125,-0.44726562,0.9140625,-14.65625,29.40625,39.59375,0.0,0.0,0.0
1695379554836,-0.43164062,-0.3671875,0.86621094,-17.03125,34.46875,34.21875,0.0,0.0,0.0
1695379554876,-0.5058594,-0.33398438,0.94628906,-16.0,35.4375,24.21875,0.0,0.0,0.0
1695379554916,-0.61621094,-0.40722656,0.94140625,-17.78125,28.5,23.0,0.0,0.0,0.0
1695379554956,-0.57128906,-0.48242188,1.046875,-1.65625,16.03125,18.34375,0.0,0.0,0.0
1695379554996,-0.88671875,-0.66503906,1.0390625,35.5625,-19.90625,10.125,0.0,0.0,0.0
1695379555036,-0.87597656,-0.25195312,0.7871094,79.28125,-72.53125,0.40625,0.0,0.0,0.0
1695379555076,-0.46191406,-0.16699219,0.6425781,104.0625,-69.03125,-1.1875,0.0,0.0,0.0
1695379555116,-0.25195312,-0.0126953125,0.60253906,57.96875,-28.8125,-7.46875,0.0,0.0,0.0
1695379555156,-0.14550781,0.0859375,0.49316406,18.28125,21.65625,6.9375,-45.4375,-22.9375,-59.0
1695379555196,-0.18261719,0.045898438,0.5,-15.75,74.09375,21.15625,0.0,0.0,0.0
1695379555236,-0.11816406,0.22949219,0.49023438,-56.59375,117.65625,41.375,0.0,0.0,0.0
1695379555276,-0.4638672,-0.055664062,0.55371094,-75.03125,161.96875,53.8125,0.0,0.0,0.0
1695379555316,-0.67578125,-0.40429688,0.44921875,-70.28125,178.5625,42.96875,0.0,0.0,0.0
1695379555356,-0.88378906,-0.47753906,0.3330078,-101.21875,195.3125,8.90625,0.0,0.0,0.0
1695379555396,-1.0048828,-0.578125,0.31152344,-62.46875,193.21875,23.125,0.0,0.0,0.0
1695379555436,-1.1279297,-0.23339844,0.3984375,17.75,180.71875,62.84375,0.0,0.0,0.0
1695379555476,-1.5947266,0.045898438,0.484375,-37.375,102.71875,46.8125,0.0,0.0,0.0
1695379555516,-1.2294922,0.62109375,0.3984375,-220.96875,124.6875,85.5625,0.0,0.0,0.0
1695379555556,-2.0,-0.6699219,0.2685547,54.625,-34.1875,12.125,0.0,0.0,0.0
1695379555596,-0.31445312,0.22949219,0.7089844,-54.21875,-46.59375,7.0625,0.0,0.0,0.0
1695379555636,-1.2763672,-0.5253906,0.020507812,90.25,-45.3125,36.3125,0.0,0.0,0.0
1695379555676,-1.0527344,-0.4892578,0.13085938,87.3125,-6.78125,-2.21875,-62.375,-13.1875,-100.125
1695379555716,-0.86621094,-0.005859375,0.39257812,64.5625,-33.71875,-2.53125,0.0,0.0,0.0
1695379555756,-0.7734375,-0.14257812,0.43359375,33.84375,-23.40625,-24.25,0.0,0.0,0.0
1695379555796,-0.83203125,-0.56640625,0.25976562,12.9375,-20.53125,-51.46875,0.0,0.0,0.0
1695379555836,-1.0927734,-0.2998047,0.22167969,43.75,-15.8125,-65.1875,0.0,0.0,0.0
1695379555876,-1.0185547,0.119140625,0.30664062,24.40625,-21.9375,-50.1875,0.0,0.0,0.0
1695379555916,-0.9921875,0.23242188,0.5097656,48.1875,-39.375,-14.0625,0.0,0.0,0.0
1695379555956,-1.1015625,-0.20117188,-0.009765625,-39.25,-7.875,2.4375,0.0,0.0,0.0
1695379555996,-0.92578125,-0.4375,0.3564453,-15.03125,-10.28125,-18.03125,0.0,0.0,0.0
1695379556036,-1.0,-0.3095703,0.21582031,5.71875,10.71875,-11.4375,0.0,0.0,0.0
1695379556076,-0.9765625,-0.19824219,0.32617188,-18.75,18.40625,-28.03125,0.0,0.0,0.0
1695379556116,-0.8027344,-0.36621094,0.5185547,13.34375,-7.53125,-24.125,0.0,0.0,0.0
