# Sensor type: Respeck
# Activity type: Lying down right
# Activity subtype: Hyperventilating
# Subject id: s1911593
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695825320862,0.9326172,-0.070373535,0.31573486,5.40625,0.046875,-0.109375
1695825320936,0.96362305,-0.082092285,0.3369751,3.203125,1.265625,-0.515625
1695825320950,0.9572754,-0.11212158,0.3508911,2.703125,-3.3125,-0.34375
1695825320980,0.9650879,-0.101379395,0.331604,-2.328125,-2.734375,-0.671875
1695825321025,0.9577637,-0.08380127,0.33599854,-2.328125,-3.328125,0.03125
1695825321070,0.9379883,-0.058410645,0.3320923,-1.765625,-2.53125,0.234375
1695825321100,0.94384766,-0.070373535,0.34991455,-1.21875,-0.171875,-0.5
1695825321146,0.94018555,-0.078186035,0.33135986,-0.640625,-1.53125,-0.5
1695825321220,0.9526367,-0.07330322,0.31134033,0.78125,-1.921875,-0.25
1695825321222,0.95825195,-0.08477783,0.33502197,1.953125,0.90625,0.921875
1695825321266,0.95947266,-0.07965088,0.2954712,5.28125,2.453125,1.921875
1695825321296,0.9963379,-0.074523926,0.29644775,7.875,9.03125,3.0
1695825321340,0.90234375,-0.08087158,0.32110596,7.0,4.265625,1.28125
1695825321388,0.92749023,-0.0803833,0.32037354,1.03125,-1.1875,-1.828125
1695825321417,0.9880371,-0.101623535,0.32452393,-1.75,-1.53125,-0.65625
1695825321460,0.97143555,-0.09210205,0.33233643,-0.75,-3.3125,0.234375
1695825321551,0.9472656,-0.07672119,0.32110596,-2.71875,-2.421875,-0.671875
1695825321553,0.9562988,-0.06793213,0.33551025,-3.140625,-3.75,-1.125
1695825321580,0.97753906,-0.08526611,0.33843994,-3.984375,-0.609375,-0.765625
1695825321640,0.9453125,-0.093566895,0.3262329,-1.390625,-1.5625,-0.484375
1695825321655,0.94091797,-0.058898926,0.32940674,-2.140625,-2.640625,-1.53125
1695825321716,0.9589844,-0.06060791,0.3098755,-3.296875,-0.109375,-0.171875
1695825321745,0.95996094,-0.07574463,0.31329346,0.21875,0.453125,0.59375
1695825321775,0.9719238,-0.08062744,0.29888916,3.140625,2.765625,1.375
1695825321820,0.96069336,-0.07623291,0.3118286,5.71875,3.5,2.6875
1695825321866,0.9206543,-0.09161377,0.3032837,5.5,-0.140625,1.078125
1695825321896,0.94750977,-0.089416504,0.34381104,0.390625,0.15625,-0.6875
1695825321940,0.96655273,-0.108947754,0.36236572,-0.859375,-1.84375,-1.09375
1695825322016,0.9946289,-0.08428955,0.31988525,-4.234375,-1.1875,-0.625
1695825322030,0.9477539,-0.047912598,0.32305908,-1.71875,-4.8125,1.171875
1695825322060,0.9382324,-0.046936035,0.31793213,-0.3125,-0.140625,-0.15625
1695825322106,0.9484863,-0.07720947,0.29595947,0.828125,-1.59375,0.453125
1695825322136,0.98657227,-0.08111572,0.30548096,6.234375,3.515625,2.078125
1695825322210,0.9265137,-0.066467285,0.31988525,4.0,0.0625,1.796875
1695825322212,0.9350586,-0.073791504,0.32867432,-0.515625,1.734375,-0.96875
1695825322287,0.95703125,-0.10235596,0.32696533,0.390625,-0.09375,-0.765625
1695825322301,0.96191406,-0.11260986,0.3406372,-1.046875,-4.78125,-1.09375
1695825322330,0.9819336,-0.097717285,0.33917236,-4.875,-2.125,-0.59375
1695825322376,0.9555664,-0.06378174,0.34136963,-2.375,-3.015625,0.03125
1695825322421,0.9362793,-0.06719971,0.32574463,-3.296875,-3.15625,-1.0
