,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,-0.3840332,-0.75323486,0.61712646,2.0625,0.109375,0.59375
1,1697606005,-0.34692383,-0.72247314,0.45013428,11.203125,-4.421875,2.59375
2,1697606045,-0.22827148,-0.803772,0.4401245,50.5,0.046875,11.421875
3,1697606085,-0.22607422,-0.9077759,0.34906006,4.84375,4.578125,11.65625
4,1697606125,-0.44628906,-0.95880127,0.49993896,6.109375,-26.953125,3.828125
5,1697606165,-0.32983398,-0.8862915,0.57806396,-11.84375,-2.671875,-12.71875
6,1697606205,-0.37353516,-0.63067627,0.4328003,-16.84375,-4.578125,-3.203125
7,1697606245,-0.47875977,-0.788147,0.4730835,-14.984375,2.203125,6.984375
8,1697606285,-0.41552734,-0.9661255,0.5963745,-15.765625,-2.0,-9.046875
9,1697606325,-0.15454102,-0.7998657,0.43426514,-9.796875,-6.328125,-5.3125
10,1697606365,-0.30737305,-0.89434814,0.4616089,4.109375,-0.578125,12.3125
11,1697606405,-0.5214844,-0.8101196,0.5001831,14.3125,2.640625,-5.0625
12,1697606445,-0.29516602,-0.84161377,0.29925537,16.671875,-11.046875,1.375
13,1697606485,-0.29370117,-0.86383057,0.4442749,-15.4375,-12.4375,6.84375
14,1697606525,-0.6147461,-0.7542114,0.6029663,2.046875,11.703125,-6.875
15,1697606565,-0.35107422,-0.7737427,0.4389038,-15.125,-0.703125,-7.609375
16,1697606605,-0.22998047,-0.63848877,0.51971436,-2.90625,6.140625,1.84375
17,1697606645,-0.21606445,-0.7888794,0.51849365,-4.9375,-3.078125,-5.9375
18,1697606685,-0.3701172,-1.0022583,0.45477295,-1.140625,-9.71875,-5.703125
19,1697606725,-0.5227051,-0.9055786,0.5116577,3.28125,10.109375,1.78125
20,1697606765,-0.56469727,-0.77056885,0.48406982,3.5625,0.140625,1.484375
21,1697606805,-0.3642578,-0.70196533,0.4298706,11.859375,-2.546875,3.453125
22,1697606845,-0.24145508,-0.9072876,0.6161499,-6.703125,-10.140625,9.296875
23,1697606885,-0.5522461,-0.8909302,0.73114014,-11.609375,-1.765625,-1.5625
24,1697606925,-0.6452637,-0.7539673,0.45062256,-11.1875,9.5625,2.96875
25,1697606965,-0.1105957,-0.5003052,0.6051636,-0.515625,1.6875,4.90625
26,1697607005,-0.08862305,-0.70391846,0.6000366,0.34375,3.1875,1.0625
27,1697607045,-0.28735352,-0.9368286,0.49383545,-12.6875,-17.015625,-10.234375
28,1697607085,-0.48046875,-0.95928955,0.5700073,-0.578125,3.84375,-4.5
29,1697607125,-0.5410156,-0.81207275,0.41571045,7.296875,8.328125,3.390625
30,1697607165,-0.47753906,-0.69903564,0.52508545,6.75,-0.125,-1.078125
31,1697607205,-0.46289062,-0.9187622,0.45404053,5.71875,-11.015625,13.109375
32,1697607245,-0.4111328,-0.88067627,0.51776123,-15.125,-8.84375,7.71875
33,1697607285,-0.51586914,-0.72125244,0.57147217,-8.453125,25.171875,-6.59375
34,1697607325,-0.095703125,-0.58258057,0.65057373,-7.703125,8.328125,-0.71875
35,1697607365,0.033203125,-0.5523071,0.5927124,-9.265625,-10.953125,1.015625
36,1697607405,-0.32299805,-0.84259033,0.6034546,-24.171875,-8.203125,-18.625
37,1697607445,-0.65527344,-0.84503174,0.699646,-10.78125,9.640625,-16.96875
38,1697607485,-0.49389648,-0.75567627,0.6383667,6.359375,17.75,7.71875
39,1697607525,-0.36254883,-0.73565674,0.586853,2.640625,16.8125,4.28125
40,1697607565,-0.39892578,-0.81134033,0.61395264,9.03125,18.984375,-2.328125
41,1697607605,-0.38842773,-0.89801025,0.6508179,7.15625,8.125,1.0625
42,1697607645,-0.34399414,-0.7842407,0.6100464,13.40625,2.578125,2.734375
43,1697607685,-0.31640625,-0.66973877,0.5639038,18.21875,-0.296875,2.40625
44,1697607725,-0.30541992,-0.7149048,0.5704956,11.75,-4.09375,2.78125
45,1697607765,-0.3173828,-0.8225708,0.5841675,7.859375,-4.109375,4.03125
46,1697607805,-0.33789062,-0.8237915,0.52630615,6.5,-3.65625,4.125
47,1697607845,-0.33520508,-0.79571533,0.5675659,3.875,-7.25,7.4375
48,1697607885,-0.26660156,-0.7966919,0.5482788,5.109375,-8.296875,4.46875
49,1697607925,-0.28271484,-0.8213501,0.48260498,4.234375,-6.875,-1.15625
50,1697607965,-0.3486328,-0.82647705,0.48187256,5.328125,-6.640625,0.796875
51,1697608005,-0.35546875,-0.8189087,0.4586792,9.765625,-7.015625,3.0
52,1697608045,-0.2590332,-0.8189087,0.45794678,11.796875,-1.6875,2.59375
