,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,-0.7229004,-0.027404785,-0.6680298,-1.140625,-1.0,3.15625
1,1697606005,-0.73291016,-0.042053223,-0.67193604,-0.578125,-0.5,2.078125
2,1697606045,-0.7438965,-0.03692627,-0.67437744,0.15625,1.4375,0.15625
3,1697606085,-0.7338867,-0.034729004,-0.678772,0.25,1.625,-0.421875
4,1697606125,-0.71899414,-0.03765869,-0.6643677,-0.265625,2.0,-0.03125
5,1697606165,-0.73095703,-0.038635254,-0.65509033,-1.640625,-0.53125,0.515625
6,1697606205,-0.7265625,-0.04083252,-0.6633911,-0.921875,0.265625,0.53125
7,1697606245,-0.7253418,-0.04083252,-0.6658325,0.25,1.03125,0.34375
8,1697606285,-0.7282715,-0.042053223,-0.67755127,-1.203125,0.421875,0.5
9,1697606325,-0.7294922,-0.043762207,-0.6682739,0.21875,1.625,0.125
10,1697606365,-0.7314453,-0.039855957,-0.6712036,-0.953125,1.234375,-0.40625
11,1697606405,-0.7290039,-0.042541504,-0.6621704,1.265625,2.296875,0.15625
12,1697606445,-0.7312012,-0.038879395,-0.67193604,-0.546875,1.09375,0.21875
13,1697606485,-0.732666,-0.027160645,-0.66534424,-1.34375,0.21875,0.21875
14,1697606525,-0.7246094,-0.03326416,-0.6638794,0.140625,1.125,0.3125
15,1697606565,-0.7277832,-0.04083252,-0.66729736,0.0625,1.5,0.359375
16,1697606605,-0.7348633,-0.03717041,-0.6692505,-0.3125,1.203125,0.15625
17,1697606645,-0.73339844,-0.032287598,-0.6675415,0.171875,1.3125,0.359375
18,1697606685,-0.72875977,-0.042541504,-0.6682739,-0.875,0.75,0.546875
19,1697606725,-0.72436523,-0.044006348,-0.6616821,-0.03125,0.953125,0.0625
20,1697606765,-0.72875977,-0.039855957,-0.67193604,-0.9375,0.53125,0.34375
21,1697606805,-0.7302246,-0.035949707,-0.6699829,-0.21875,0.859375,0.21875
22,1697606845,-0.73706055,-0.03741455,-0.67681885,-0.5,0.609375,0.59375
23,1697606885,-0.7272949,-0.038635254,-0.6663208,0.015625,1.84375,-0.09375
24,1697606925,-0.7297363,-0.037902832,-0.6638794,-1.359375,1.140625,-0.109375
25,1697606965,-0.7348633,-0.042053223,-0.65826416,-1.53125,-0.0625,0.390625
26,1697607005,-0.72875977,-0.045715332,-0.663147,-1.5,-0.09375,0.34375
27,1697607045,-0.7216797,-0.05255127,-0.66241455,-0.140625,0.625,-0.203125
28,1697607085,-0.72802734,-0.03741455,-0.67266846,-2.265625,0.34375,-0.03125
29,1697607125,-0.7314453,-0.039367676,-0.6682739,-1.25,1.1875,0.375
30,1697607165,-0.7277832,-0.04425049,-0.6643677,-1.890625,-0.09375,0.609375
31,1697607205,-0.72387695,-0.04888916,-0.6734009,-4.5625,-1.96875,0.25
32,1697607245,-0.7141113,-0.051086426,-0.6687622,-1.484375,-0.25,-0.296875
33,1697607285,-0.7219238,-0.06060791,-0.67071533,-2.359375,-0.078125,0.15625
34,1697607325,-0.72021484,-0.058410645,-0.6655884,0.921875,1.8125,-0.296875
35,1697607365,-0.72436523,-0.054016113,-0.6777954,1.5625,1.21875,-0.53125
36,1697607405,-0.72314453,-0.047668457,-0.67559814,2.578125,2.359375,-1.171875
37,1697607445,-0.7297363,-0.0413208,-0.6746216,1.765625,3.203125,-0.734375
38,1697607485,-0.73168945,-0.046447754,-0.6682739,2.984375,4.3125,-0.453125
39,1697607525,-0.734375,-0.037902832,-0.659729,2.53125,4.28125,-1.21875
40,1697607565,-0.73583984,-0.030822754,-0.6675415,2.984375,4.34375,-1.8125
41,1697607605,-0.7312012,-0.023010254,-0.66241455,1.453125,3.78125,-1.4375
42,1697607645,-0.7307129,-0.031555176,-0.6350708,2.09375,2.421875,-0.796875
43,1697607685,-0.7446289,-0.023010254,-0.6548462,0.171875,2.046875,-0.5
44,1697607725,-0.7548828,-0.020080566,-0.675354,2.359375,3.1875,-0.734375
45,1697607765,-0.736084,-0.01763916,-0.6519165,2.265625,3.546875,-1.15625
46,1697607805,-0.74072266,-0.016662598,-0.64019775,0.3125,1.53125,-0.453125
47,1697607845,-0.7390137,-0.010559082,-0.65045166,-0.40625,0.828125,0.28125
48,1697607885,-0.7434082,-0.013000488,-0.6465454,-0.75,-0.21875,1.078125
49,1697607925,-0.7260742,-0.011047363,-0.6460571,-1.890625,-1.1875,2.21875
50,1697607965,-0.7314453,-0.023010254,-0.6487427,-1.453125,-2.734375,4.75
51,1697608005,-0.7487793,-0.038146973,-0.6638794,-0.640625,-1.9375,3.6875
52,1697608045,-0.74975586,-0.035217285,-0.6782837,0.9375,2.328125,-0.765625
53,1697608085,-0.73461914,-0.023498535,-0.65509033,2.5625,4.015625,-1.015625
54,1697608125,-0.73046875,-0.018127441,-0.6409302,0.375,2.875,0.65625
