,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,-0.38256836,-0.79522705,0.52508545,0.359375,-0.5625,0.796875
1,1697606005,-0.39038086,-0.7971802,0.5228882,-2.328125,0.0625,0.5625
2,1697606045,-0.38378906,-0.7996216,0.5162964,-0.140625,0.796875,0.359375
3,1697606085,-0.38330078,-0.7883911,0.53167725,-2.53125,1.734375,-0.6875
4,1697606125,-0.39672852,-0.7793579,0.5297241,1.296875,-0.1875,0.84375
5,1697606165,-0.3869629,-0.7920532,0.5302124,1.8125,0.578125,0.953125
6,1697606205,-0.38964844,-0.800354,0.513855,0.03125,1.515625,0.171875
7,1697606245,-0.39379883,-0.7954712,0.52630615,0.59375,0.03125,0.578125
8,1697606285,-0.38891602,-0.7979126,0.5228882,1.40625,-0.15625,1.015625
9,1697606325,-0.38598633,-0.7991333,0.5282593,2.125,0.84375,0.796875
10,1697606365,-0.38476562,-0.80133057,0.5241089,2.671875,0.515625,1.265625
11,1697606405,-0.38452148,-0.798645,0.5180054,2.03125,0.234375,1.3125
12,1697606445,-0.3791504,-0.80303955,0.51116943,2.84375,0.15625,1.265625
13,1697606485,-0.3864746,-0.8064575,0.50653076,2.671875,-0.40625,1.15625
14,1697606525,-0.39379883,-0.80133057,0.50701904,2.953125,-0.671875,1.3125
15,1697606565,-0.38183594,-0.8179321,0.49871826,3.28125,-0.375,1.390625
16,1697606605,-0.38110352,-0.80670166,0.4911499,1.796875,-0.0625,0.859375
17,1697606645,-0.3947754,-0.80255127,0.50408936,4.71875,-0.40625,1.53125
18,1697606685,-0.38427734,-0.8255005,0.47454834,1.203125,0.328125,0.953125
19,1697606725,-0.3852539,-0.81500244,0.47991943,2.515625,0.09375,0.96875
20,1697606765,-0.38134766,-0.815979,0.4874878,2.1875,0.34375,0.0625
21,1697606805,-0.39086914,-0.82403564,0.48773193,4.453125,-1.21875,1.5
22,1697606845,-0.38110352,-0.8394165,0.46136475,2.453125,-0.265625,1.21875
23,1697606885,-0.38452148,-0.8201294,0.45477295,1.6875,0.53125,0.703125
24,1697606925,-0.3869629,-0.82281494,0.46185303,0.6875,0.328125,0.9375
25,1697606965,-0.38964844,-0.83599854,0.45819092,1.5625,-0.484375,1.59375
26,1697607005,-0.37475586,-0.8340454,0.45550537,1.203125,0.796875,0.65625
27,1697607045,-0.38623047,-0.8262329,0.4574585,2.6875,1.1875,1.0625
28,1697607085,-0.37939453,-0.84454346,0.45648193,3.5,0.21875,1.4375
29,1697607125,-0.37158203,-0.8430786,0.44818115,0.5625,0.296875,0.8125
30,1697607165,-0.38623047,-0.8362427,0.45135498,1.125,0.5625,0.578125
31,1697607205,-0.37695312,-0.8460083,0.44207764,-0.3125,0.328125,0.4375
32,1697607245,-0.37548828,-0.8460083,0.4418335,-1.359375,0.875,0.21875
33,1697607285,-0.38427734,-0.8320923,0.43841553,-0.390625,1.03125,0.453125
34,1697607325,-0.3762207,-0.86065674,0.44329834,0.1875,0.3125,0.96875
35,1697607365,-0.38452148,-0.8257446,0.44329834,-3.203125,1.828125,-0.25
36,1697607405,-0.37109375,-0.8464966,0.4442749,-1.484375,1.171875,-0.53125
37,1697607445,-0.38549805,-0.83673096,0.46844482,-1.5,0.828125,-0.109375
38,1697607485,-0.37231445,-0.8386841,0.4569702,-0.96875,0.96875,-0.109375
39,1697607525,-0.38012695,-0.83477783,0.4520874,-1.84375,1.5,-0.34375
40,1697607565,-0.37939453,-0.8262329,0.4550171,-1.75,1.375,-0.03125
41,1697607605,-0.37841797,-0.8362427,0.46258545,-1.515625,0.78125,0.609375
42,1697607645,-0.3791504,-0.8423462,0.45599365,-2.40625,0.640625,0.59375
43,1697607685,-0.38671875,-0.833313,0.463562,-2.375,1.65625,-0.3125
44,1697607725,-0.3840332,-0.82598877,0.4725952,-2.765625,1.296875,0.03125
45,1697607765,-0.38061523,-0.82476807,0.47601318,-2.0625,0.578125,-0.078125
46,1697607805,-0.38378906,-0.82403564,0.4743042,-2.578125,1.09375,-0.046875
47,1697607845,-0.3840332,-0.82281494,0.47747803,-2.203125,1.0625,-0.390625
48,1697607885,-0.37451172,-0.82891846,0.4772339,-2.484375,0.953125,-0.125
49,1697607925,-0.38793945,-0.81744385,0.4850464,-3.40625,1.484375,-0.21875
50,1697607965,-0.38134766,-0.8201294,0.48724365,-1.78125,0.40625,0.515625
51,1697608005,-0.38183594,-0.81573486,0.49578857,-3.296875,1.40625,-0.046875
52,1697608045,-0.3725586,-0.8303833,0.480896,-2.21875,1.265625,-0.484375
53,1697608085,-0.3762207,-0.81695557,0.49017334,-5.53125,1.6875,-1.296875
54,1697608125,-0.39086914,-0.7944946,0.50164795,-2.9375,1.15625,-0.484375
55,1697608165,-0.38330078,-0.81134033,0.5055542,-1.765625,0.71875,-0.015625
56,1697608205,-0.38916016,-0.80670166,0.50213623,-3.171875,1.71875,-0.46875
57,1697608245,-0.3786621,-0.80718994,0.50531006,-2.484375,1.28125,-0.21875
58,1697608285,-0.38476562,-0.80792236,0.5055542,-1.796875,0.53125,0.171875
59,1697608325,-0.3840332,-0.80255127,0.5055542,-1.125,0.859375,-0.125
60,1697608365,-0.38891602,-0.8101196,0.5101929,-2.921875,1.3125,-0.421875
61,1697608405,-0.38989258,-0.798645,0.5182495,-0.859375,1.1875,-0.078125
62,1697608445,-0.38330078,-0.8015747,0.51971436,-1.484375,1.171875,0.296875
63,1697608485,-0.38598633,-0.79400635,0.513855,-1.671875,0.859375,-0.0625
64,1697608525,-0.38842773,-0.79937744,0.5211792,-0.96875,0.875,0.171875
65,1697608565,-0.39086914,-0.80303955,0.5206909,-2.0625,0.921875,-0.15625
66,1697608605,-0.38989258,-0.79351807,0.52337646,-0.625,0.828125,0.203125
67,1697608645,-0.38476562,-0.79693604,0.5211792,-1.46875,0.421875,0.046875
68,1697608685,-0.39331055,-0.79473877,0.526062,-0.359375,0.734375,0.40625
69,1697608725,-0.3737793,-0.8062134,0.5223999,-2.09375,0.9375,-0.671875
70,1697608765,-0.39453125,-0.78863525,0.5231323,-3.65625,1.625,-1.0
71,1697608805,-0.3876953,-0.7876587,0.53045654,-0.828125,0.65625,0.640625
72,1697608845,-0.38964844,-0.7932739,0.53411865,-1.640625,0.90625,-0.109375
73,1697608885,-0.38916016,-0.7979126,0.5248413,-2.078125,0.78125,-0.15625
74,1697608925,-0.39331055,-0.7901001,0.53118896,-0.578125,1.015625,-0.140625
75,1697608965,-0.39038086,-0.79156494,0.52752686,-1.09375,0.921875,0.21875
76,1697609005,-0.39086914,-0.7905884,0.53167725,-1.6875,0.953125,-0.1875
