timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695848053355,-0.8623047,-0.18365479,0.5856323,-0.6875,1.234375,1.265625
1695848053401,-0.8532715,-0.1741333,0.5895386,1.53125,1.046875,1.765625
1695848053431,-0.86279297,-0.19268799,0.59906006,5.484375,0.34375,2.15625
1695848053474,-0.87524414,-0.23394775,0.61395264,9.625,2.65625,2.453125
1695848053520,-0.86083984,-0.22296143,0.60443115,13.125,5.578125,4.734375
1695848053551,-0.85498047,-0.20465088,0.576355,12.1875,3.09375,3.765625
1695848053597,-0.85253906,-0.22735596,0.5895386,13.21875,3.03125,3.546875
1695848053642,-0.8371582,-0.22930908,0.5765991,9.96875,4.3125,2.53125
1695848053675,-0.8288574,-0.24273682,0.5878296,10.21875,3.984375,2.484375
1695848053718,-0.82006836,-0.24298096,0.57684326,5.46875,2.71875,0.546875
1695848053754,-0.82592773,-0.24859619,0.58758545,1.09375,2.046875,-0.09375
1695848053791,-0.81884766,-0.22198486,0.58343506,-3.109375,-0.390625,-1.0
1695848053837,-0.83032227,-0.22979736,0.5800171,-7.875,-2.53125,-1.703125
1695848053872,-0.78930664,-0.20977783,0.5529175,-21.65625,-4.796875,-3.90625
1695848053914,-0.8635254,-0.2366333,0.58709717,-17.078125,-4.484375,-3.640625
1695848053957,-0.8430176,-0.21661377,0.5866089,-13.0,-1.1875,-2.140625
1695848053988,-0.8642578,-0.22393799,0.60614014,-7.609375,1.28125,-0.15625
1695848054039,-0.86816406,-0.21368408,0.57196045,-6.578125,-0.234375,-0.609375
1695848054077,-0.8586426,-0.20880127,0.5951538,-2.796875,0.390625,-0.25
1695848054108,-0.8417969,-0.18585205,0.5844116,-2.609375,0.984375,0.734375
1695848054152,-0.84399414,-0.17559814,0.6000366,-0.875,1.4375,0.890625
1695848054199,-0.8483887,-0.16998291,0.5895386,3.234375,0.453125,1.6875
1695848054229,-0.8623047,-0.19732666,0.58929443,1.53125,-0.421875,0.953125
1695848054274,-0.85595703,-0.22393799,0.61468506,2.828125,1.21875,1.78125
1695848054320,-0.8642578,-0.21759033,0.5934448,3.015625,1.4375,1.296875
1695848054346,-0.86938477,-0.23590088,0.61712646,9.953125,2.203125,2.078125
1695848054392,-0.8515625,-0.21490479,0.5890503,11.09375,4.03125,3.28125
1695848054424,-0.8417969,-0.20831299,0.5648804,10.671875,4.453125,3.953125
1695848054468,-0.83569336,-0.22784424,0.5656128,10.859375,3.546875,3.84375
1695848054520,-0.8483887,-0.2559204,0.58587646,10.859375,4.546875,3.1875
1695848054544,-0.83984375,-0.25689697,0.5783081,8.234375,3.984375,2.734375
1695848054590,-0.83325195,-0.26641846,0.59002686,7.3125,3.453125,1.71875
1695848054632,-0.8078613,-0.2546997,0.5812378,3.734375,2.78125,0.328125
1695848054671,-0.8144531,-0.2576294,0.5829468,-0.234375,0.8125,-0.34375
1695848054710,-0.8093262,-0.24420166,0.572937,-6.21875,-1.203125,-1.296875
1695848054753,-0.7890625,-0.20709229,0.571228,-14.046875,-3.484375,-3.34375
1695848054784,-0.82666016,-0.23150635,0.5775757,-13.5625,-8.734375,-5.1875
1695848054836,-0.8701172,-0.26031494,0.5932007,-10.515625,-6.96875,-4.875
1695848054869,-0.8449707,-0.25274658,0.5922241,-9.765625,-1.125,-2.203125
1695848054904,-0.86376953,-0.23394775,0.5709839,-7.25,0.25,-0.859375
1695848054948,-0.8640137,-0.22906494,0.55389404,-6.6875,-0.40625,-1.0
1695848054994,-0.8574219,-0.21612549,0.57489014,-5.75,1.34375,-0.578125
1695848055025,-0.86621094,-0.19195557,0.5795288,-2.921875,1.65625,1.15625
1695848055069,-0.85913086,-0.19293213,0.58099365,0.390625,0.921875,1.359375
1695848055143,-0.8586426,-0.21661377,0.60321045,4.0625,0.90625,1.734375
1695848055150,-0.8547363,-0.23443604,0.58807373,4.84375,2.453125,2.03125
1695848055185,-0.8713379,-0.24395752,0.6012573,8.875,3.84375,4.015625
1695848055219,-0.8618164,-0.24273682,0.59295654,9.859375,5.1875,4.3125
1695848055259,-0.8498535,-0.23150635,0.57440186,11.359375,4.609375,2.96875
1695848055304,-0.828125,-0.24151611,0.5778198,10.046875,5.4375,3.5
1695848055341,-0.82006836,-0.25445557,0.57611084,10.4375,5.0,2.484375
1695848055381,-0.84765625,-0.26324463,0.5770874,9.078125,3.625,2.375
1695848055440,-0.8376465,-0.28497314,0.5753784,6.203125,2.65625,1.375
1695848055455,-0.82128906,-0.2901001,0.5829468,2.921875,3.1875,0.546875
