,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,-0.9230957,-0.19610596,-0.3640747,-0.828125,-1.71875,-0.046875
1,1697606005,-0.9172363,-0.19903564,-0.36480713,-0.828125,-2.1875,0.015625
2,1697606045,-0.9199219,-0.1963501,-0.3743286,-1.375,-1.5,-0.359375
3,1697606085,-0.92407227,-0.1921997,-0.36798096,-1.5625,-0.921875,-0.453125
4,1697606125,-0.92529297,-0.19317627,-0.3665161,-2.5,-2.1875,0.140625
5,1697606165,-0.91381836,-0.19830322,-0.3850708,-0.875,-0.34375,-0.328125
6,1697606205,-0.92626953,-0.20587158,-0.37628174,-1.78125,0.171875,-0.46875
7,1697606245,-0.907959,-0.19464111,-0.35699463,-1.671875,-1.125,-0.875
8,1697606285,-0.92749023,-0.19146729,-0.37628174,-1.46875,-1.171875,-0.921875
9,1697606325,-0.9211426,-0.1873169,-0.37384033,-1.375,-1.34375,-0.203125
10,1697606365,-0.91967773,-0.19268799,-0.36505127,-1.078125,-1.859375,0.109375
11,1697606405,-0.92211914,-0.19488525,-0.36676025,0.515625,-1.09375,-0.1875
12,1697606445,-0.91381836,-0.20123291,-0.38165283,1.015625,-0.953125,0.1875
13,1697606485,-0.91381836,-0.19561768,-0.36016846,0.515625,-1.203125,0.390625
14,1697606525,-0.9187012,-0.19122314,-0.37457275,0.890625,-3.203125,1.125
15,1697606565,-0.91137695,-0.20025635,-0.37701416,0.953125,-2.9375,0.25
16,1697606605,-0.91918945,-0.18951416,-0.38726807,0.1875,-1.9375,-0.140625
17,1697606645,-0.9182129,-0.19268799,-0.3743286,-0.015625,-1.015625,0.03125
18,1697606685,-0.91503906,-0.19561768,-0.37774658,-0.015625,-1.546875,-0.015625
19,1697606725,-0.9172363,-0.19488525,-0.38433838,0.15625,-1.546875,0.296875
20,1697606765,-0.9140625,-0.19561768,-0.37872314,0.5625,-2.28125,0.5625
21,1697606805,-0.9133301,-0.1951294,-0.38287354,0.265625,-2.359375,0.1875
22,1697606845,-0.9128418,-0.19732666,-0.3887329,0.515625,-0.84375,-0.078125
23,1697606885,-0.9123535,-0.1963501,-0.38824463,0.0,-1.484375,0.40625
24,1697606925,-0.90966797,-0.20172119,-0.41583252,-0.296875,-3.546875,1.328125
25,1697606965,-0.89990234,-0.19415283,-0.36212158,1.453125,-0.8125,0.046875
26,1697607005,-0.9279785,-0.20440674,-0.41314697,-0.796875,0.328125,-0.34375
27,1697607045,-0.89453125,-0.20635986,-0.37335205,-1.890625,-0.875,-0.359375
28,1697607085,-0.93188477,-0.1831665,-0.38970947,0.0625,-1.34375,-0.609375
29,1697607125,-0.9050293,-0.19976807,-0.39556885,-0.5625,-1.828125,0.28125
30,1697607165,-0.9133301,-0.18560791,-0.39434814,-0.34375,-1.796875,0.28125
31,1697607205,-0.90527344,-0.1951294,-0.3748169,0.875,-0.703125,-0.09375
32,1697607245,-0.9169922,-0.19854736,-0.39996338,1.203125,-1.015625,-0.015625
33,1697607285,-0.90356445,-0.19195557,-0.38189697,2.203125,-1.296875,1.109375
34,1697607325,-0.9223633,-0.2053833,-0.40875244,1.15625,-3.3125,1.296875
35,1697607365,-0.89624023,-0.1975708,-0.3875122,1.3125,-3.09375,0.828125
36,1697607405,-0.90722656,-0.20196533,-0.41656494,0.984375,-2.484375,0.484375
37,1697607445,-0.9069824,-0.19293213,-0.39971924,0.359375,-1.609375,0.3125
38,1697607485,-0.9069824,-0.19683838,-0.40289307,0.453125,-1.03125,0.109375
39,1697607525,-0.9001465,-0.18951416,-0.40875244,0.890625,-1.0625,0.703125
40,1697607565,-0.9013672,-0.1963501,-0.40167236,0.4375,-0.921875,0.453125
41,1697607605,-0.9050293,-0.20074463,-0.4126587,0.390625,-1.28125,0.375
42,1697607645,-0.9057617,-0.19488525,-0.40582275,0.625,-0.703125,0.4375
43,1697607685,-0.89990234,-0.19830322,-0.40289307,0.53125,-0.71875,0.453125
44,1697607725,-0.9001465,-0.19537354,-0.38458252,1.046875,-1.6875,1.109375
45,1697607765,-0.91259766,-0.20025635,-0.3970337,0.703125,-1.90625,1.265625
46,1697607805,-0.90112305,-0.1963501,-0.4277954,1.078125,0.203125,-0.140625
47,1697607845,-0.90844727,-0.20318604,-0.40264893,0.34375,-0.328125,0.765625
48,1697607885,-0.89404297,-0.20098877,-0.3953247,1.328125,0.546875,-0.0625
49,1697607925,-0.91796875,-0.20098877,-0.40948486,2.640625,-0.59375,1.5625
50,1697607965,-0.9055176,-0.2000122,-0.40948486,1.640625,-1.21875,1.359375
51,1697608005,-0.90527344,-0.1975708,-0.41778564,1.46875,-0.5,0.8125
52,1697608045,-0.8935547,-0.19732666,-0.395813,2.875,1.359375,0.78125
53,1697608085,-0.9030762,-0.2000122,-0.41851807,1.34375,0.3125,0.5
54,1697608125,-0.904541,-0.19683838,-0.4055786,1.53125,0.765625,0.796875
55,1697608165,-0.9055176,-0.20025635,-0.4019165,1.546875,-0.546875,1.59375
56,1697608205,-0.9038086,-0.19366455,-0.39361572,1.90625,-0.75,1.1875
57,1697608245,-0.90771484,-0.20220947,-0.4187622,0.640625,-0.640625,0.640625
58,1697608285,-0.9038086,-0.20123291,-0.39849854,0.3125,0.21875,0.5
