,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,-0.53930664,-0.20928955,1.0099487,-8.6875,-8.84375,-1.984375
1,1697606005,-0.46704102,-0.15802002,0.96502686,-3.453125,-4.65625,-1.796875
2,1697606045,-0.53564453,-0.16241455,0.951355,-0.84375,-0.203125,-0.46875
3,1697606085,-0.53222656,-0.1519165,0.9442749,-4.28125,-3.65625,0.234375
4,1697606125,-0.5197754,-0.14361572,0.9743042,-6.0,-0.609375,-0.453125
5,1697606165,-0.532959,-0.11895752,0.9816284,-1.796875,-2.328125,-1.484375
6,1697606205,-0.52124023,-0.13848877,0.9501343,-0.9375,-2.34375,-1.109375
7,1697606245,-0.5151367,-0.14459229,0.9472046,0.921875,2.3125,0.703125
8,1697606285,-0.51831055,-0.117248535,0.92230225,-1.234375,-1.578125,-0.234375
9,1697606325,-0.48120117,-0.10601807,1.0011597,0.421875,7.453125,0.046875
10,1697606365,-0.51904297,-0.14703369,1.0018921,-0.328125,7.125,0.359375
11,1697606405,-0.5415039,-0.21710205,0.9227905,-7.546875,-0.09375,1.3125
12,1697606445,-0.5654297,-0.117492676,1.0018921,-2.609375,-6.703125,2.1875
13,1697606485,-0.513916,-0.06402588,1.0214233,-0.484375,-5.515625,-0.828125
14,1697606525,-0.49438477,-0.09234619,0.9393921,-4.140625,1.203125,-0.046875
15,1697606565,-0.50805664,-0.12506104,0.9816284,3.984375,6.71875,1.109375
16,1697606605,-0.5161133,-0.20391846,0.98358154,3.859375,4.359375,0.796875
17,1697606645,-0.5432129,-0.15509033,0.914978,-5.640625,-0.765625,0.84375
18,1697606685,-0.5366211,-0.10455322,1.0221558,-2.171875,-1.84375,-0.625
19,1697606725,-0.5319824,-0.053527832,0.93377686,-2.546875,-6.796875,-1.1875
20,1697606765,-0.5151367,-0.11407471,0.96209717,-1.984375,3.5625,0.765625
21,1697606805,-0.5234375,-0.12677002,0.95965576,7.859375,5.359375,1.0625
22,1697606845,-0.54003906,-0.24078369,0.9381714,-0.734375,0.9375,1.046875
23,1697606885,-0.5275879,-0.12432861,0.94403076,-4.84375,-0.21875,1.25
24,1697606925,-0.5395508,-0.078430176,1.0021362,-3.4375,-3.453125,-2.265625
25,1697606965,-0.52441406,-0.07110596,0.93670654,-5.125,-4.984375,-0.390625
26,1697607005,-0.55322266,-0.13189697,0.96014404,1.03125,3.234375,0.6875
27,1697607045,-0.50683594,-0.1338501,0.9484253,3.296875,5.46875,1.328125
28,1697607085,-0.5625,-0.21612549,0.949646,0.203125,2.328125,2.1875
29,1697607125,-0.52001953,-0.10675049,0.9586792,-3.8125,-0.25,-0.296875
30,1697607165,-0.5578613,-0.06842041,0.9879761,-3.765625,-1.078125,-1.265625
31,1697607205,-0.5144043,-0.10821533,0.9677124,-2.515625,-0.796875,-0.921875
32,1697607245,-0.5366211,-0.11260986,0.98114014,2.484375,5.171875,1.359375
33,1697607285,-0.53759766,-0.1729126,0.96795654,4.34375,4.375,1.1875
34,1697607325,-0.5275879,-0.1428833,0.92108154,-3.953125,-0.8125,-0.03125
35,1697607365,-0.5349121,-0.06402588,1.0436401,-1.390625,-1.046875,-0.375
36,1697607405,-0.5266113,-0.07745361,0.93182373,-2.6875,-1.5625,-0.875
37,1697607445,-0.5251465,-0.12774658,0.9525757,-0.3125,2.34375,1.46875
38,1697607485,-0.513916,-0.116760254,0.95477295,0.125,3.59375,0.171875
39,1697607525,-0.5258789,-0.14019775,0.9935913,4.234375,3.203125,0.015625
40,1697607565,-0.56469727,-0.19708252,0.93792725,0.640625,-1.875,0.34375
41,1697607605,-0.54296875,-0.09698486,0.96136475,-1.984375,1.71875,-0.171875
