# Sensor type: 'Thingy'
# Activity type: Ascending stairs
# Activity subtype: Normal
# Subject id: s1919579
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695833376560,-1.3320312,0.12011719,0.07910156,8.15625,0.15625,6.3125,0.0,0.0,0.0
1695833376603,-1.2910156,0.484375,0.2998047,-6.3125,-14.1875,-2.0,0.0,0.0,0.0
1695833376645,-0.9892578,0.4716797,0.17773438,-47.25,-64.96875,-6.9375,0.0,0.0,0.0
1695833376679,-0.60839844,0.3310547,0.14355469,-25.03125,-110.5,-6.75,0.0,0.0,0.0
1695833376720,-1.2324219,0.24121094,0.38476562,-45.25,-200.46875,5.6875,0.0,0.0,0.0
1695833376760,-0.8955078,0.15527344,0.140625,-27.71875,-154.1875,-11.03125,0.0,0.0,0.0
1695833376799,-0.5517578,0.421875,0.24804688,32.28125,-170.1875,5.53125,0.0,0.0,0.0
1695833376840,-0.7988281,0.24804688,0.46484375,12.0625,-152.3125,12.15625,0.0,0.0,0.0
1695833376880,-0.60839844,0.23925781,0.25390625,35.6875,-122.21875,-21.53125,0.0,0.0,0.0
1695833376940,-0.30371094,0.21386719,0.48535156,17.0,-113.46875,-13.28125,-55.9375,11.125,-57.375
1695833376961,-0.27539062,0.23144531,0.64453125,-1.40625,-54.59375,-2.65625,0.0,0.0,0.0
1695833377000,-0.45117188,0.18652344,0.7529297,-5.28125,-15.65625,1.625,0.0,0.0,0.0
1695833377040,-0.29492188,0.21484375,0.8769531,2.3125,34.03125,0.4375,0.0,0.0,0.0
1695833377081,-0.3173828,0.14941406,0.9345703,-21.875,68.34375,-17.5625,0.0,0.0,0.0
1695833377141,-0.9482422,0.3798828,0.79003906,-41.21875,48.5,-15.65625,0.0,0.0,0.0
1695833377160,-1.4267578,0.17480469,0.77246094,35.75,66.28125,-11.3125,0.0,0.0,0.0
1695833377202,-0.43847656,0.31640625,0.3798828,3.15625,78.40625,-4.0,0.0,0.0,0.0
1695833377241,-0.8095703,0.30566406,0.46972656,20.96875,-1.125,40.0,0.0,0.0,0.0
1695833377282,-1.1220703,0.20214844,0.33691406,4.0625,108.3125,2.59375,0.0,0.0,0.0
1695833377321,-0.7216797,0.33007812,0.34472656,-26.03125,106.3125,-7.90625,0.0,0.0,0.0
1695833377360,-0.65722656,0.3017578,0.40820312,23.0625,83.96875,10.59375,0.0,0.0,0.0
1695833377400,-0.7441406,0.16894531,0.19238281,-47.5625,96.71875,38.71875,0.0,0.0,0.0
1695833377460,-0.9873047,0.021484375,0.11816406,-19.125,194.625,1.96875,-70.0625,12.5,-68.3125
1695833377480,-0.78515625,-0.03515625,0.21191406,-1.1875,85.0,-29.34375,0.0,0.0,0.0
1695833377520,-0.8144531,0.25390625,0.16601562,-4.90625,52.09375,-4.3125,0.0,0.0,0.0
1695833377560,-0.80566406,0.06542969,0.16503906,1.6875,25.9375,0.9375,0.0,0.0,0.0
1695833377600,-0.9736328,0.036132812,0.34375,-4.28125,18.71875,-4.8125,0.0,0.0,0.0
1695833377641,-0.92578125,0.015625,0.2685547,14.21875,5.125,-7.1875,0.0,0.0,0.0
1695833377720,-0.96484375,0.07910156,0.31152344,3.78125,9.9375,-2.96875,0.0,0.0,0.0
1695833377740,-1.0351562,0.29296875,0.23535156,9.4375,31.90625,11.1875,0.0,0.0,0.0
1695833377760,-1.4248047,0.17871094,0.125,-28.21875,28.0625,20.15625,0.0,0.0,0.0
1695833377801,-1.5742188,0.119140625,0.2763672,27.6875,12.0625,-4.6875,0.0,0.0,0.0
1695833377840,-1.2519531,0.35742188,0.17285156,-11.3125,-26.25,-7.65625,0.0,0.0,0.0
1695833377881,-0.91503906,0.33203125,-0.0546875,30.375,-69.59375,-6.03125,0.0,0.0,0.0
1695833377941,-0.88671875,0.40722656,0.22851562,78.90625,-137.15625,3.9375,-74.875,11.125,-77.4375
1695833377960,-1.1689453,0.3486328,0.33789062,-1.0625,-195.625,13.03125,0.0,0.0,0.0
1695833378000,-0.6513672,0.3779297,0.052734375,-38.03125,-146.25,4.71875,0.0,0.0,0.0
